total cycles (32767 Hz), repeat for 10 times: 650522 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 966982 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1289301 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1711178 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2138958 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2666317 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 3199625 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 3832551 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 4471295 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 5209540 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 5953615 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 6797356 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 7647335 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 8596512 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 9551400 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 10605808 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 11665722 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 12826039 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 13991734 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 15257160 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 16528094 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 17899323 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 19275349 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 20751466 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 22234234 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 23814999 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 25401228 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 27088109 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 28)
