total cycles (32767 Hz), repeat for 10 times: 774563 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 829745 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 885072 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 943996 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1441 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 2877 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 5554 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 11103 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 21804 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 32708 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 48761 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 65014 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 86428 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 108028 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 134786 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 161743 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 193859 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 226166 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 263629 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 301295 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 344114 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 387129 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 435293 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 483650 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 537184 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 590910 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 649800 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 708889 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 773117 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 837551 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 907103 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 976926 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1051849 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1126978 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1207277 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1287730 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1373377 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1951 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 3897 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 7472 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 14936 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 29228 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 43839 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 65278 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 87038 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 115619 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 144519 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 180248 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 216302 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 259183 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 302368 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 352369 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 402720 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 459889 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 517392 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 581701 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 646314 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 717728 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 789545 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 868138 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 947016 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1032767 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1118805 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1211689 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1304894 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1404912 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 20)
