total cycles (32767 Hz), repeat for 10 times: 520362 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 578188 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 642014 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 706216 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 776457 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 847052 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 923655 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1000634 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1083594 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1166963 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1256332 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1346045 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1441813 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1537972 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1640051 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 2393 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 4781 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 9008 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 20)
