============================ benchmark mac ============================
total cycles (32767 Hz), repeat for 10 times: 20004 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 22466 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 25617 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 28353 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 31781 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 34794 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 38498 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 41789 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 45772 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 49338 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 53596 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 57441 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 61971 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 66093 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 70902 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 75298 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 80385 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 85057 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 90423 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 95370 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 12)
